Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,city,lat,lng
13,2020-01-01 16:00:00,2020-01-01 12:00:00,2020-01-01 23:14:00,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00,,,
41,2020-01-05 01:00:00,2020-01-02 16:00:00,2020-01-03 01:51:00,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,,,
65,2020-01-05 18:00:00,2020-01-03 16:00:00,2020-01-04 00:59:00,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,,,
68,2020-01-04 20:00:00,2020-01-03 19:00:00,2020-01-04 08:46:00,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,02-05-2020 20:00,,,
70,2020-01-06 12:00:00,2020-01-03 21:00:00,2020-01-04 17:23:00,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,,,
80,2020-01-07 03:00:00,2020-01-04 07:00:00,2020-01-04 23:54:00,Visakhapatnam,154,VEHICLE - STOLEN,54,F,,Violent Crime,15,Yes,15-01-2020 03:00,,,
95,2020-01-06 08:00:00,2020-01-04 22:00:00,2020-01-04 22:16:00,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,,,
111,2020-01-07 04:00:00,2020-01-05 14:00:00,2020-01-05 23:24:00,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,16-02-2020 04:00,,,
200,2020-01-11 13:00:00,2020-01-09 07:00:00,2020-01-10 02:06:00,Nashik,471,HOMICIDE,56,F,Blunt Object,Other Crime,4,No,,,,
237,2020-01-12 13:00:00,2020-01-10 20:00:00,2020-01-11 06:53:00,Visakhapatnam,561,CYBERCRIME,23,M,Other,Other Crime,7,No,,,,
254,2020-01-12 18:00:00,2020-01-11 13:00:00,2020-01-11 15:04:00,Nashik,123,ILLEGAL POSSESSION,39,M,,Other Crime,3,Yes,20-01-2020 18:00,,,
265,2020-01-12 17:00:00,2020-01-12 00:00:00,2020-01-12 19:08:00,Visakhapatnam,152,COUNTERFEITING,79,F,Blunt Object,Other Crime,14,Yes,21-02-2020 17:00,,,
